STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
         20;201903010129;201903010129;    3;  0.00;  -999;  -999;-999;eor
         20;201903010130;201903010130;    3;  0.00;  -999;  -999;-999;eor
         20;201903010131;201903010131;    3;  0.00;  -999;  -999;-999;eor
         20;201903010132;201903010132;    3;  0.00;  -999;  -999;-999;eor
         20;201903010133;201903010133;    3;  0.00;  -999;  -999;-999;eor
         20;201903010134;201903010134;    3;  0.00;  -999;  -999;-999;eor
         20;201903010135;201903010135;    3;  0.00;  -999;  -999;-999;eor
         20;201903010136;201903010136;    3;  0.00;  -999;  -999;-999;eor
         20;201903010137;201903010137;    3;  0.00;  -999;  -999;-999;eor
         20;201903010138;201903010138;    3;  0.00;  -999;  -999;-999;eor
         20;201903010139;201903010139;    3;  0.00;  -999;  -999;-999;eor
         20;201903010140;201903010140;    3;  0.00;  -999;  -999;-999;eor
         20;201903010141;201903010141;    3;  0.00;  -999;  -999;-999;eor
         20;201903010142;201903010142;    3;  0.00;  -999;  -999;-999;eor
         20;201903010143;201903010143;    3;  0.00;  -999;  -999;-999;eor
         20;201903010144;201903010144;    3;  0.00;  -999;  -999;-999;eor
         20;201903010145;201903010145;    3;  0.00;  -999;  -999;-999;eor
         20;201903010146;201903010146;    3;  0.00;  -999;  -999;-999;eor
         20;201903010147;201903010147;    3;  0.00;  -999;  -999;-999;eor
         20;201903010148;201903010148;    3;  0.00;  -999;  -999;-999;eor
         20;201903010149;201903010149;    3;  0.00;  -999;  -999;-999;eor
         20;201903010150;201903010150;    3;  0.00;  -999;  -999;-999;eor
         20;201903010151;201903010151;    3;  0.00;  -999;  -999;-999;eor
         20;201903010152;201903010152;    3;  0.00;  -999;  -999;-999;eor
         20;201903010153;201903010153;    3;  0.00;  -999;  -999;-999;eor
         20;201903010154;201903010154;    3;  0.00;  -999;  -999;-999;eor
         20;201903010155;201903010155;    3;  0.00;  -999;  -999;-999;eor
         20;201903010156;201903010156;    3;  0.00;  -999;  -999;-999;eor
         20;201903010157;201903010157;    3;  0.00;  -999;  -999;-999;eor
         20;201903010158;201903010158;    3;  0.00;  -999;  -999;-999;eor
         20;201903010159;201903010159;    3;  0.00;  -999;  -999;-999;eor
         20;201903010200;201903010200;    3;  0.00;  -999;  -999;-999;eor
         20;201903010201;201903010201;    3;  0.00;  -999;  -999;-999;eor
         20;201903010202;201903010202;    3;  0.00;  -999;  -999;-999;eor
         20;201903010203;201903010203;    3;  0.03;  -999;  -999;-999;eor
         20;201903010204;201903010204;    3;  0.00;  -999;  -999;-999;eor
         20;201903010205;201903010205;    3;  0.00;  -999;  -999;-999;eor
         20;201903010206;201903010206;    3;  0.00;  -999;  -999;-999;eor
         20;201903010207;201903010207;    3;  0.00;  -999;  -999;-999;eor
         20;201903010208;201903010208;    3;  0.00;  -999;  -999;-999;eor
         20;201903010209;201903010209;    3;  0.00;  -999;  -999;-999;eor
         20;201903010210;201903010210;    3;  0.00;  -999;  -999;-999;eor
         20;201903010211;201903010211;    3;  0.04;  -999;  -999;-999;eor
         20;201903010212;201903010212;    3;  0.02;  -999;  -999;-999;eor
         20;201903010213;201903010213;    3;  0.00;  -999;  -999;-999;eor
         20;201903010214;201903010214;    3;  0.00;  -999;  -999;-999;eor
         20;201903010215;201903010215;    3;  0.00;  -999;  -999;-999;eor
         20;201903010216;201903010216;    3;  0.03;  -999;  -999;-999;eor
